key,conference,title,selected,candidate_pass,openreview_url
ICML:66371,ICML,Stochastic Gradient Variational Inference with Price's Gradient Estimator from Bures-Wasserstein to Parameter Space,False,matrix_candidates,https://openreview.net/forum?id=4HquuQN4qK
ICML:66558,ICML,Rethinking KV Cache Eviction via a Unified Information-Theoretic Objective,False,matrix_candidates,https://openreview.net/forum?id=2fPbFUJ87k
ICML:66595,ICML,Information Geometry Loss for Time Series Forecasting,False,matrix_candidates,https://openreview.net/forum?id=2NbXZDl4nB
ICML:66680,ICML,When Model Merging Breaks Routing: Training-Free Calibration for MoE,False,matrix_candidates,https://openreview.net/forum?id=1ORZJtadQl
ICML:63727,ICML,Revisiting Neural Processes via Fourier Transform and Volterra Series,False,matrix_candidates,https://openreview.net/forum?id=UEeBGrOGa8
ICML:66778,ICML,Reflective Hamiltonian Monte Carlo:  Mixing Analysis and Application to Sampling on Stiefel Manifold,False,matrix_candidates,https://openreview.net/forum?id=0QjwbySLcU
ICML:66543,ICML,A Penalty Approach For Differentiation Through Black-box Quadratic Programming Solvers,True,matrix_candidates,https://openreview.net/forum?id=2jpMiRwsrL
ICML:61765,ICML,Swift-SVD: Theoretical Optimality Meets Practical Efficiency in Low-Rank LLM Compression,True,matrix_candidates,https://openreview.net/forum?id=nAQ4h8FpdM
ICML:61264,ICML,TWLA: Achieving Ternary Weights and Low-Bit Activations for LLMs via Post-Training Quantization,False,matrix_candidates,https://openreview.net/forum?id=s1WSLFmnr8
ICML:71058,ICML,MuonSSM: Orthogonalizing State Space Models for Sequence Modeling,False,matrix_candidates,https://openreview.net/forum?id=GmP3VcfHi0
ICML:71071,ICML,Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-Dimensional Control Tasks,False,matrix_candidates,https://openreview.net/forum?id=aNWIVNjocB
ICML:71112,ICML,POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation,False,matrix_candidates,https://openreview.net/forum?id=et8jpWLUuD
ICML:71180,ICML,FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU,True,matrix_candidates,https://openreview.net/forum?id=VzIA4MASxK
ICML:65216,ICML,Mitigating Gradient Pathology in PINNs through Aligned Constraint,False,matrix_candidates,https://openreview.net/forum?id=Fisw2kc7EY
ICML:61633,ICML,Semantic Impact–Driven Visual Scheduling in Vision-Language Models,False,matrix_candidates,https://openreview.net/forum?id=oFZT8HCxmW
ICML:60742,ICML,CGSVD: Cascaded Granular Singular Value Decomposition for Large Language Model Compression,True,matrix_candidates,https://openreview.net/forum?id=x23DAFnbhi
ICML:60777,ICML,Second-Order Bilevel Optimization with Accelerated Convergence Rates,False,matrix_candidates,https://openreview.net/forum?id=wnj21mpuHv
ICML:60915,ICML,Joint Model and Data Sparsification via the Marginal Likelihood,False,matrix_candidates,https://openreview.net/forum?id=vMcu1h3fOV
ICML:60988,ICML,DASH: Faster Shampoo via Batched Block Preconditioning and Efficient Inverse-Root Solvers,True,matrix_candidates,https://openreview.net/forum?id=ujeyxKwTGM
ICML:60991,ICML,G-RANS: Generalizable Residual-Aware Neural Solvers for Sparse Systems,True,matrix_candidates,https://openreview.net/forum?id=uizi6lvkSW
ICML:61048,ICML,Scout Before You Attend: Sketch-and-Walk Sparse Attention for Efficient LLM Inference,True,matrix_candidates,https://openreview.net/forum?id=uCLVPafHqd
ICML:61729,ICML,Toward Scalable and Valid Conditional Independence Testing with Spectral Representations,False,matrix_candidates,https://openreview.net/forum?id=nPzckCXmHE
ICML:61979,ICML,"Push, Pop, Parallelize: Stack-Augmented Linear Attention via the Delta Rule",True,matrix_candidates,https://openreview.net/forum?id=l1v359RKe0
ICML:62255,ICML,Robust Signal Enhancement via Fractional Detail Views and Knowledge Guided Multi-view Fusion,False,matrix_candidates,https://openreview.net/forum?id=iIWMjdBZ20
ICML:62400,ICML,DiScoFormer: Plug-In Density and Score Estimation with Transformers,False,matrix_candidates,https://openreview.net/forum?id=gyOWJpP8cQ
ICML:62505,ICML,One Intervention per Component is Enough: Towards Identifiability in Linear Stochastic Dynamics from Steady State,False,matrix_candidates,https://openreview.net/forum?id=g07aDcWYJ9
ICML:62517,ICML,RobuQ: Pushing DiTs to W1.58A2 via Robust Activation Quantization,False,matrix_candidates,https://openreview.net/forum?id=ftM5GTQAh1
ICML:62676,ICML,Efficient DP-SGD for LLMs with Randomized Clipping,False,matrix_candidates,https://openreview.net/forum?id=eTO6G25Jbo
ICML:62815,ICML,Effective MoE-based LLM Compression by Exploiting Heterogeneous Inter-Group Experts Routing Frequency and Information Density,False,matrix_candidates,https://openreview.net/forum?id=czym69s5GU
ICML:62943,ICML,Evolution Strategies at the Hyperscale,False,matrix_candidates,https://openreview.net/forum?id=bfVJ4GsHrO
ICML:62987,ICML,Linearizing Vision Transformer with Test-Time Training,False,matrix_candidates,https://openreview.net/forum?id=bBylXHoUTl
ICML:62993,ICML,Plasticity Activation via Polar Operator: A Plug-in Method for Balancing Stability and Plasticity,False,matrix_candidates,https://openreview.net/forum?id=b7P2WegaBY
ICML:63121,ICML,Likelihood Matching for Diffusion Models,False,matrix_candidates,https://openreview.net/forum?id=ZuIjuBCjxh
ICML:60596,ICML,Taming the Loss Landscape of PINNs with Noisy Feynman–Kac Supervision: Operator Preconditioning and Non-Asymptotic Error Bounds,False,matrix_candidates,https://openreview.net/forum?id=yd4tq9Rf3L
ICML:63327,ICML,Dual Optimal Transport for Multi-Concept Composition: Structural Alignment and Texture Injection in Diffusion Models,False,matrix_candidates,https://openreview.net/forum?id=Y45P7D88uX
ICML:63357,ICML,SHARP-Q: Spectral Hessian Alignment and Rectification for Post-training Quantization,True,matrix_candidates,https://openreview.net/forum?id=Xn9Eu2x7Hw
ICML:63425,ICML,Euler–Poincaré Neural Dynamics: A Geometric-Mechanics Framework for Scientific Simulation,False,matrix_candidates,https://openreview.net/forum?id=XInXredBC1
ICML:63453,ICML,Optimal Stopping in Latent Diffusion Models,False,matrix_candidates,https://openreview.net/forum?id=X4OakhiSzp
ICML:63473,ICML,FiX: Introducing Fine-grained Forget Gate into Softmax Attention,False,matrix_candidates,https://openreview.net/forum?id=WsNpCXq6SG
ICML:63500,ICML,Content-Style Identification via Differential Independence,False,matrix_candidates,https://openreview.net/forum?id=WcsBsGO6SW
ICML:63519,ICML,Semi-LAR: Semi-supervised Contrastive Learning with Linear Attention for Removal of Nighttime Flares,False,matrix_candidates,https://openreview.net/forum?id=WTg6EIcXso
ICML:64063,ICML,Dynamic Linear Attention,False,matrix_candidates,https://openreview.net/forum?id=RH7Ft0pVDP
ICML:64066,ICML,Enhancing LLM Training via Spectral Clipping,False,matrix_candidates,https://openreview.net/forum?id=RF1YUA8plS
ICML:64123,ICML,"Fast kernel methods: Sobolev, physics-informed, and additive models",True,matrix_candidates,https://openreview.net/forum?id=QiDicUd6PB
ICML:64126,ICML,WBMM: Windowed Batch Matrix Multiplication for Efficient Large Receptive Field Convolution,True,matrix_candidates,https://openreview.net/forum?id=Qg9Jcy788i
ICML:64188,ICML,You Need Better Attention Priors,False,matrix_candidates,https://openreview.net/forum?id=Q7MkgK17GU
ICML:64223,ICML,Training–Inference Consistent Segmented Execution for Long-Context LLMs,False,matrix_candidates,https://openreview.net/forum?id=PoRigyDOcC
ICML:64387,ICML,Q-Delta: Beyond Key–Value Associative State Evolution,False,matrix_candidates,https://openreview.net/forum?id=O6tuJZIv0u
ICML:64388,ICML,Spectral Collapse Drives Loss of Plasticity in Deep Continual Learning,False,matrix_candidates,https://openreview.net/forum?id=O6rHSkpYJU
ICML:64460,ICML,Variational Bayesian Flow Network for Graph Generation,False,matrix_candidates,https://openreview.net/forum?id=NNU8cO5wte
ICML:65004,ICML,Bilevel Optimization over Saddle Points of Zero-Sum Markov Games,False,matrix_candidates,https://openreview.net/forum?id=HtSjPOIMMc
ICML:63209,ICML,DP-KFC: Data-Free Preconditioning for Privacy-Preserving Deep Learning,True,matrix_candidates,https://openreview.net/forum?id=Z6HxJqAzbp
ICML:65143,ICML,Butterworth as Attention: Anisotropic Spectral Gating for Pansharpening,False,matrix_candidates,https://openreview.net/forum?id=GNrBEnHPPv
ICML:64070,ICML,T-Edit: Triple-Branch Diffusion Anchoring for Consistent Editing,False,matrix_candidates,https://openreview.net/forum?id=RBE1rgYl39
ICML:65357,ICML,Global Plane Waves from Local Gaussians: Periodic Charge Densities in a Blink,False,matrix_candidates,https://openreview.net/forum?id=EPKdX56JSc
ICML:65468,ICML,On Structured State-Space Duality,True,matrix_candidates,https://openreview.net/forum?id=DKathyl3XN
ICML:65510,ICML,Trajectory Consistency for One-Step Generation on Euler Mean Flows,False,matrix_candidates,https://openreview.net/forum?id=CuqZJO3RE4
ICML:65541,ICML,PLASH: Provably Linear-Time Attention with Selective Higher-Order Feature Sketching,True,matrix_candidates,https://openreview.net/forum?id=CYg2w0YKM4
ICML:65592,ICML,How Can Mamba Learn In Context with Outliers and Generalize Provably?,False,matrix_candidates,https://openreview.net/forum?id=C41aLahRXZ
ICML:65624,ICML,EigenCache: Rethinking Diffusion Acceleration as Covariance-Optimal Forecasting and Submodular Information Allocation,False,matrix_candidates,https://openreview.net/forum?id=BjMsVqss9N
ICML:66016,ICML,SVD as a Fast Interpretability Method for Transformers,True,matrix_candidates,https://openreview.net/forum?id=7tt8TwMjdJ
ICML:66306,ICML,Training-Free Hashing-Based Attention via Binary Principal Components,True,matrix_candidates,https://openreview.net/forum?id=4spHlgHY9x
ICML:65135,ICML,Matrix-Free GPU Semidefinite Programming for Quantum Ordered Search at the k=6 Frontier,False,matrix_candidates,https://openreview.net/forum?id=GSGOyxRrBo
