key,conference,id,title,program_title,authors,acceptance,themes,categories,quantity,method,caveat,matrix_scope,geometry,manifold_scope,relevance_notes,evidence,fulltext_sources,openreview_url,conference_url,proceedings_url,pdf_url,code_links,snapshot_date,training_scope,hyperparameters,training_finding,training_caveat,training_reading_rank,year,publication_status,source_url,doi,citation_key,bibtex,bibtex_kind,bibtex_source
CVPR:2021-SKFAC,CVPR 2021,CVPR:2021-SKFAC,SKFAC: Training Neural Networks With Faster Kronecker-Factored Approximate Curvature,,Zedong Tang; Fenlong Jiang; Maoguo Gong; Hao Li; Yue Wu; Fan Yu; Zidong Wang; Min Wang,Published,Matrix computation; Optimizer,"A: KFAC / EKFAC methods, applications, and substantive evaluations; X8: Linear systems, sparse solvers and Gaussian processes",Damped inverses of minibatch KFAC factors,"For a factor lambda I + Y^T Y / M, invert M lambda I + YY^T when the minibatch size M is smaller than the layer dimension; use direct inversion otherwise.",The fully connected-layer inversion is exact for the chosen damped minibatch factors. The Fisher/Kronecker model and convolutional extensions introduce approximations. This is not an online eigenspace tracker for full EMA factors; the benefit depends on batch size versus width.,Deep learning,,,"Research note: Swift KFAC (SKFAC) exploits the low rank of minibatch activation and output-derivative Gram matrices. A Woodbury-form identity moves damped factor inversion to a batch-sized system, connecting low-rank preconditioning to efficient KFAC computation.",Official CVPR proceedings metadata and abstract; targeted full-text passage checked,"https://openaccess.thecvf.com/content/CVPR2021/papers/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.pdf — Section 3.1, Theorem 1, equations (13)-(17), Algorithm 1; Section 3.2. Checked the batch-sized inversion formula, the batch-size condition and the need for additional convolutional approximations.",,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.pdf,,2026-09-24,,,,,0,2021,Published,https://openaccess.thecvf.com/content/CVPR2021/html/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.html,,Tang_2021_CVPR,"@InProceedings{Tang_2021_CVPR,
    author    = {Tang, Zedong and Jiang, Fenlong and Gong, Maoguo and Li, Hao and Wu, Yue and Yu, Fan and Wang, Zidong and Wang, Min},
    title     = {SKFAC: Training Neural Networks With Faster Kronecker-Factored Approximate Curvature},
    booktitle = {Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)},
    month     = {June},
    year      = {2021},
    pages     = {13479-13487}
}",Source-provided citation,https://openaccess.thecvf.com/content/CVPR2021/html/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.html
ICLR:10007112,ICLR 2026,10007112,Accelerating Eigenvalue Dataset Generation via Chebyshev Subspace Filter,,Hong Wang; Jie Wang; Jian Luo; huanshuo dong; Yeqiu Chen; Runmin Jiang; Zhen Huang,Accept (Poster),Matrix computation,"X2: Eigenproblems, spectral computation and SVD analysis",Eigenpairs for related operators,Sort operators using truncated FFT features; reuse previous eigenpairs through Chebyshev subspace filtering.,Targets eigenvalue dataset generation across a sequence of related problems.,Scientific computing,,,Matrix computation: Sort operators using truncated FFT features; reuse previous eigenpairs through Chebyshev subspace filtering.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=rrbCQT7JKX,https://iclr.cc/virtual/2026/poster/10007112,,https://openreview.net/pdf?id=rrbCQT7JKX,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=rrbCQT7JKX,,ICLR_10007112,"@misc{ICLR_10007112,
  title = {{Accelerating Eigenvalue Dataset Generation via Chebyshev Subspace Filter}},
  author = {Hong Wang and Jie Wang and Jian Luo and huanshuo dong and Yeqiu Chen and Runmin Jiang and Zhen Huang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=rrbCQT7JKX}
}",Generated from catalogue metadata,https://openreview.net/forum?id=rrbCQT7JKX
ICLR:10011207,ICLR 2026,10011207,ARMOR: High-Performance Semi-Structured Pruning via Adaptive Matrix Factorization,,Lawrence Liu; Alexander Liu; Mengdi Wang; Tuo Zhao; Lin Yang,Accept (Poster),Matrix computation,X6: Matrix and tensor methods for compression,Semi-structured sparse weight factors,Factor weights into a 2:4 sparse core with block-diagonal pre/post corrections; fit by block coordinate descent.,Guarantee compares proxy losses; downstream accuracy is empirical.,Deep learning,,,Matrix computation: Factor weights into a 2:4 sparse core with block-diagonal pre/post corrections; fit by block coordinate descent.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=8NE554wv0m,https://iclr.cc/virtual/2026/poster/10011207,,https://openreview.net/pdf?id=8NE554wv0m,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=8NE554wv0m,,ICLR_10011207,"@misc{ICLR_10011207,
  title = {{ARMOR: High-Performance Semi-Structured Pruning via Adaptive Matrix Factorization}},
  author = {Lawrence Liu and Alexander Liu and Mengdi Wang and Tuo Zhao and Lin Yang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=8NE554wv0m}
}",Generated from catalogue metadata,https://openreview.net/forum?id=8NE554wv0m
ICLR:10006476,ICLR 2026,10006476,Avoid Catastrophic Forgetting with Rank-1 Fisher from Diffusion Models,,Zekun Wang; Anant Gupta; Zihan Dong; Christopher MacLellan,Accept (Poster),Matrix computation,"X3: Fisher, Hessian, derivatives and implicit differentiation",Dominant diffusion-model Fisher direction,Exploit nearly collinear low-SNR gradients to construct a rank-one Fisher penalty for continual learning.,Rank-one structure is regime-dependent; not a claim about all diffusion timesteps.,Deep learning,,,Matrix computation: Exploit nearly collinear low-SNR gradients to construct a rank-one Fisher penalty for continual learning.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=zCZcbRsc4g,https://iclr.cc/virtual/2026/poster/10006476,,https://openreview.net/pdf?id=zCZcbRsc4g,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=zCZcbRsc4g,,ICLR_10006476,"@misc{ICLR_10006476,
  title = {{Avoid Catastrophic Forgetting with Rank-1 Fisher from Diffusion Models}},
  author = {Zekun Wang and Anant Gupta and Zihan Dong and Christopher MacLellan},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=zCZcbRsc4g}
}",Generated from catalogue metadata,https://openreview.net/forum?id=zCZcbRsc4g
ICLR:10010697,ICLR 2026,10010697,Back to Square Roots: An Optimal Bound on the Matrix Factorization Error for Multi-Epoch Differentially Private SGD,,Nikita Kalinin; Ryan McKenna; Jalaj Upadhyay; Christoph Lampert,Accept (Poster),Matrix computation,"X1: Matrix functions, roots and matrix geometry",Correlated-noise matrix factorization for multi-epoch DP-SGD,Use a banded inverse square-root factorization with a tight asymptotic error characterization.,"Privacy mechanism factorization, rather than a general optimizer preconditioner.",Deep learning,,,Matrix computation: Use a banded inverse square-root factorization with a tight asymptotic error characterization.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=EEr6cADbZx,https://iclr.cc/virtual/2026/poster/10010697,,https://openreview.net/pdf?id=EEr6cADbZx,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=EEr6cADbZx,,ICLR_10010697,"@misc{ICLR_10010697,
  title = {{Back to Square Roots: An Optimal Bound on the Matrix Factorization Error for Multi-Epoch Differentially Private SGD}},
  author = {Nikita Kalinin and Ryan McKenna and Jalaj Upadhyay and Christoph Lampert},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=EEr6cADbZx}
}",Generated from catalogue metadata,https://openreview.net/forum?id=EEr6cADbZx
ICLR:10008904,ICLR 2026,10008904,Bayesian Influence Functions for Hessian-Free Data Attribution,,Philipp Alexander Kreer; Wilson Wu; Maxwell Adam; Zach Furman; Jesse Hoogland,Accept (Poster),Matrix computation; Optimizer,"A: KFAC / EKFAC methods, applications, and substantive evaluations; X3: Fisher, Hessian, derivatives and implicit differentiation",Data influence scores,Replace inverse-Hessian operations with loss-landscape statistics estimated by stochastic-gradient MCMC.,"A Bayesian influence construction, not an algebraically exact classical influence-function evaluation.",Deep learning,,,"Optimizer: EKFAC comparison: Bayesian influence functions replace inverse-Hessian computations with stochastic-gradient MCMC loss statistics and evaluate against EK-FAC. A Hessian-free alternative, not an EKFAC variant. | Matrix computation: Replace inverse-Hessian operations with loss-landscape statistics estimated by stochastic-gradient MCMC.",Official accepted-paper title and abstract; targeted full-text passage checked,"https://openreview.net/pdf?id=YEBpZVm70i — Section 4 and Figure 4, BIF versus EK-FAC retraining experiments; indexed accepted-paper full text. Targeted check recorded in the earlier project catalog; not a complete paper review.",https://openreview.net/forum?id=YEBpZVm70i,https://iclr.cc/virtual/2026/poster/10008904,,https://openreview.net/pdf?id=YEBpZVm70i,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=YEBpZVm70i,,ICLR_10008904,"@misc{ICLR_10008904,
  title = {{Bayesian Influence Functions for Hessian-Free Data Attribution}},
  author = {Philipp Alexander Kreer and Wilson Wu and Maxwell Adam and Zach Furman and Jesse Hoogland},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=YEBpZVm70i}
}",Generated from catalogue metadata,https://openreview.net/forum?id=YEBpZVm70i
ICLR:10010773,ICLR 2026,10010773,CARE: Covariance-Aware and Rank-Enhanced Decomposition for Enabling Multi-Head Latent Attention,,Zhongzhu Zhou; Fengxiang Bie; Ziyan Chen; Zhenyu Zhang; Yibo Yang; Junxiong Wang; Ben Athiwaratkun; Xiaoxia (Shirley) Wu; Shuaiwen Song,Accept (Poster),Matrix computation,X6: Matrix and tensor methods for compression,Covariance-aware factors converting GQA to MLA,"Match activations with covariance-aware factorization, redistribute rank and reparameterize at a fixed KV budget.",Conversion may require a short recovery fine-tune; it changes the architecture.,Deep learning,,,"Matrix computation: Match activations with covariance-aware factorization, redistribute rank and reparameterize at a fixed KV budget.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=DVurf4kGag,https://iclr.cc/virtual/2026/poster/10010773,,https://openreview.net/pdf?id=DVurf4kGag,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=DVurf4kGag,,ICLR_10010773,"@misc{ICLR_10010773,
  title = {{CARE: Covariance-Aware and Rank-Enhanced Decomposition for Enabling Multi-Head Latent Attention}},
  author = {Zhongzhu Zhou and Fengxiang Bie and Ziyan Chen and Zhenyu Zhang and Yibo Yang and Junxiong Wang and Ben Athiwaratkun and Xiaoxia (Shirley) Wu and Shuaiwen Song},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=DVurf4kGag}
}",Generated from catalogue metadata,https://openreview.net/forum?id=DVurf4kGag
ICLR:10006756,ICLR 2026,10006756,ConvT3: Structured State Kernels for Convolutional State Space Models,,Jaeyoung Hong; YunYoung Choi; Joohwan Ko; Minseon Gwak,Accept (Poster),Matrix computation,"X5: Attention, state-space algebra and parallel scans",Convolutional state-space updates with spatial kernels,Diagonalize structured tridiagonal Toeplitz tensors to parallelize extended spatial state kernels.,Exact structural reformulation for the constrained kernel family.,Deep learning,,,Matrix computation: Diagonalize structured tridiagonal Toeplitz tensors to parallelize extended spatial state kernels.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=w7csRoB5CO,https://iclr.cc/virtual/2026/poster/10006756,,https://openreview.net/pdf?id=w7csRoB5CO,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=w7csRoB5CO,,ICLR_10006756,"@misc{ICLR_10006756,
  title = {{ConvT3: Structured State Kernels for Convolutional State Space Models}},
  author = {Jaeyoung Hong and YunYoung Choi and Joohwan Ko and Minseon Gwak},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=w7csRoB5CO}
}",Generated from catalogue metadata,https://openreview.net/forum?id=w7csRoB5CO
ICLR:10008616,ICLR 2026,10008616,DASH: Deterministic Attention Scheduling for High-throughput Reproducible LLM Training,,Xinwei Qiang; Hongmin chen; Shixuan Sun; Jingwen Leng; Xin Liu; Minyi Guo,Accept (Poster),Matrix computation,"X5: Attention, state-space algebra and parallel scans",Deterministic attention backward reductions,Model computation as a DAG and reorder query tiles/reduction scheduling to reduce stalls.,Scheduling optimality is within the stated DAG model; distinct from ICML DASH for Shampoo.,Deep learning,,,Matrix computation: Model computation as a DAG and reorder query tiles/reduction scheduling to reduce stalls.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=bMi5ssfPoM,https://iclr.cc/virtual/2026/poster/10008616,,https://openreview.net/pdf?id=bMi5ssfPoM,https://github.com/SJTU-Liquid/deterministic-FA3.,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=bMi5ssfPoM,,ICLR_10008616,"@misc{ICLR_10008616,
  title = {{DASH: Deterministic Attention Scheduling for High-throughput Reproducible LLM Training}},
  author = {Xinwei Qiang and Hongmin chen and Shixuan Sun and Jingwen Leng and Xin Liu and Minyi Guo},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=bMi5ssfPoM}
}",Generated from catalogue metadata,https://openreview.net/forum?id=bMi5ssfPoM
ICLR:10006920,ICLR 2026,10006920,Decomposing LLM Computation with Jets,,Yihong Chen; Xiangxiang Xu; Pontus Stenetorp; Sebastian Riedel; Luca Franceschi,Accept (Poster),Matrix computation,"X3: Fisher, Hessian, derivatives and implicit differentiation",Functional computational paths through LLMs,Use jet operators generalizing truncated Taylor expansions to split paths from complementary remainders.,A decomposition/interpretability framework; truncated terms alone are not the full model.,Deep learning,,,Matrix computation: Use jet operators generalizing truncated Taylor expansions to split paths from complementary remainders.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=u6JLh0BO5h,https://iclr.cc/virtual/2026/poster/10006920,,https://openreview.net/pdf?id=u6JLh0BO5h,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=u6JLh0BO5h,,ICLR_10006920,"@misc{ICLR_10006920,
  title = {{Decomposing LLM Computation with Jets}},
  author = {Yihong Chen and Xiangxiang Xu and Pontus Stenetorp and Sebastian Riedel and Luca Franceschi},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=u6JLh0BO5h}
}",Generated from catalogue metadata,https://openreview.net/forum?id=u6JLh0BO5h
