key,conference,id,title,program_title,authors,acceptance,themes,categories,quantity,method,caveat,matrix_scope,geometry,manifold_scope,relevance_notes,evidence,fulltext_sources,openreview_url,conference_url,proceedings_url,pdf_url,code_links,snapshot_date,training_scope,hyperparameters,training_finding,training_caveat,training_reading_rank,year,publication_status,source_url,doi,citation_key,bibtex,bibtex_kind,bibtex_source
NeurIPS:117134,NeurIPS 2025,117134,3BASiL: An Algorithmic Framework for Sparse plus Low-Rank Compression of LLMs,,Mehdi Makni; Xiang Meng; Rahul Mazumder,Accept (poster),Matrix computation,X6: Matrix and tensor methods for compression,Sparse-plus-low-rank reconstruction of transformer weights,3BASiL uses three-block ADMM followed by transformer-level matching to refine sparse and low-rank components.,Convergence claims concern the formulated subproblems; compressed models still have approximation error.,Deep learning,,,Matrix computation: 3BASiL uses three-block ADMM followed by transformer-level matching to refine sparse and low-rank components.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=byNNv5Et10,https://neurips.cc/virtual/2025/poster/117134,https://proceedings.neurips.cc/paper_files/paper/2025/hash/fe498359454d826def8a847fad753dc2-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/fe498359454d826def8a847fad753dc2-Paper-Conference.pdf,https://github.com/mazumder-lab/3BASiL.,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=byNNv5Et10,,NeurIPS_117134,"@misc{NeurIPS_117134,
  title = {{3BASiL: An Algorithmic Framework for Sparse plus Low-Rank Compression of LLMs}},
  author = {Mehdi Makni and Xiang Meng and Rahul Mazumder},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=byNNv5Et10}
}",Generated from catalogue metadata,https://openreview.net/forum?id=byNNv5Et10
NeurIPS:115461,NeurIPS 2025,115461,"A faster training algorithm for regression trees with linear leaves, and an analysis of its complexity",,Kuat Gazizov; Miguel A. Carreira-Perpinan,Accept (poster),Matrix computation,"X8: Linear systems, sparse solvers and Gaussian processes",Least-squares leaf updates in regression trees,Applies Sherman-Morrison-Woodbury reformulations to solve the same leaf optimization problems using smaller data subsets.,Exact algebra under the required invertibility conditions; this is a tree-training application rather than deep learning.,General ML,,,Matrix computation: Applies Sherman-Morrison-Woodbury reformulations to solve the same leaf optimization problems using smaller data subsets.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=urDdBuhbLx,https://neurips.cc/virtual/2025/poster/115461,https://proceedings.neurips.cc/paper_files/paper/2025/hash/c023f4ec4c567ad48188e9b2ce6bdba7-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/c023f4ec4c567ad48188e9b2ce6bdba7-Paper-Conference.pdf,,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=urDdBuhbLx,,NeurIPS_115461,"@misc{NeurIPS_115461,
  title = {{A faster training algorithm for regression trees with linear leaves, and an analysis of its complexity}},
  author = {Kuat Gazizov and Miguel A. Carreira-Perpinan},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=urDdBuhbLx}
}",Generated from catalogue metadata,https://openreview.net/forum?id=urDdBuhbLx
NeurIPS:118663,NeurIPS 2025,118663,A Geometric Analysis of PCA,,Ayoub El Hanchi; Murat Erdogdu; Chris Maddison,Accept (poster),Manifold,"M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Grassmann geometry of PCA,Related/supporting,Manifold: Analyzes PCA excess risk through manifold geometry and curvature; supporting statistical theory rather than a new LLM optimizer.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=KEVjRT4haB,https://neurips.cc/virtual/2025/poster/118663,https://proceedings.neurips.cc/paper_files/paper/2025/hash/e9638fbbd671a3361bc807e4e7a71400-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/e9638fbbd671a3361bc807e4e7a71400-Paper-Conference.pdf,,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=KEVjRT4haB,,NeurIPS_118663,"@misc{NeurIPS_118663,
  title = {{A Geometric Analysis of PCA}},
  author = {Ayoub El Hanchi and Murat Erdogdu and Chris Maddison},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=KEVjRT4haB}
}",Generated from catalogue metadata,https://openreview.net/forum?id=KEVjRT4haB
NeurIPS:117118,NeurIPS 2025,117118,A geometric framework for momentum-based optimizers for low-rank training,,Steffen Schotthöfer; Timon Klein; Jonas Kusch,Accept (poster),Manifold; Optimizer,"I: Fine-tuning, LoRA, privacy, and specialized post-training; M2: Manifold-based LLM training and low-rank adaptation",,,,,Manifold of low-rank matrices; dynamical low-rank approximation,Direct algorithm/theory/application,"Optimizer: Derives geometry-respecting momentum methods through dynamical low-rank approximation, connecting low-rank training with standard optimizer dynamics. | Manifold: Develops a geometric framework for momentum-based low-rank training rather than applying an unconstrained optimizer independently to arbitrary factors.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=cCefuzQrjK,https://neurips.cc/virtual/2025/poster/117118,https://proceedings.neurips.cc/paper_files/paper/2025/hash/81f1ae463ed30c5d44ff416d134f9071-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/81f1ae463ed30c5d44ff416d134f9071-Paper-Conference.pdf,,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=cCefuzQrjK,,NeurIPS_117118,"@misc{NeurIPS_117118,
  title = {{A geometric framework for momentum-based optimizers for low-rank training}},
  author = {Steffen Schotthöfer and Timon Klein and Jonas Kusch},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=cCefuzQrjK}
}",Generated from catalogue metadata,https://openreview.net/forum?id=cCefuzQrjK
NeurIPS:117444,NeurIPS 2025,117444,A Geometry-Aware Metric for Mode Collapse in Time Series Generative Models,,Yassine ABBAHADDOU; Amine Aboussalah,Accept (poster),Manifold,"M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Grassmann geometry of dynamic-mode subspaces,Related/supporting,"Manifold: DMD-GEN compares generated time series through mode subspaces and optimal transport; a geometric evaluation metric, not a manifold optimizer.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=YAc0O13qMc,https://neurips.cc/virtual/2025/poster/117444,https://proceedings.neurips.cc/paper_files/paper/2025/hash/de4c2179a4ab3728f8a20aeb5a3f1bb6-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/de4c2179a4ab3728f8a20aeb5a3f1bb6-Paper-Conference.pdf,,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=YAc0O13qMc,,NeurIPS_117444,"@misc{NeurIPS_117444,
  title = {{A Geometry-Aware Metric for Mode Collapse in Time Series Generative Models}},
  author = {Yassine ABBAHADDOU and Amine Aboussalah},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=YAc0O13qMc}
}",Generated from catalogue metadata,https://openreview.net/forum?id=YAc0O13qMc
NeurIPS:115100,NeurIPS 2025,115100,A Minimalist Example of Edge-of-Stability and Progressive Sharpening,,Liming Liu; Zixuan Zhang; Simon Du; Tuo Zhao,Accept (poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T1: Learning-rate selection, warm-up and schedules; T5: Stability, curvature and edge-of-stability dynamics",,,,,,,Training dynamics: Proves progressive sharpening and self-stabilization along the trajectory of a minimal network.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=yst8MHfcgP,https://neurips.cc/virtual/2025/poster/115100,https://proceedings.neurips.cc/paper_files/paper/2025/hash/15eac388458e8a577f96edf7a40d0cbc-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/15eac388458e8a577f96edf7a40d0cbc-Paper-Conference.pdf,,2026-09-24,Theory / controlled models,Large learning rate; input structure; sharpness,Proves progressive sharpening and self-stabilization along the trajectory of a minimal network.,The model has two input dimensions and is designed as a controlled explanatory example.,0,2025,Accepted,https://openreview.net/forum?id=yst8MHfcgP,,NeurIPS_115100,"@misc{NeurIPS_115100,
  title = {{A Minimalist Example of Edge-of-Stability and Progressive Sharpening}},
  author = {Liming Liu and Zixuan Zhang and Simon Du and Tuo Zhao},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=yst8MHfcgP}
}",Generated from catalogue metadata,https://openreview.net/forum?id=yst8MHfcgP
NeurIPS:119097,NeurIPS 2025,119097,A Private Approximation of the 2nd-Moment Matrix of Any Subsamplable Input,,Bar Mahpud; Or Sheffet,Accept (poster),Matrix computation,"X3: Fisher, Hessian, derivatives and implicit differentiation",Differentially private second-moment matrices,A recursive estimator exploits subsamplability to preserve spectral structure while adding privacy protection.,Accuracy guarantees require subsamplability and probabilistic conditions; the returned matrix is a private approximation.,General ML,,,Matrix computation: A recursive estimator exploits subsamplability to preserve spectral structure while adding privacy protection.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=Ep4mYI7OLF,https://neurips.cc/virtual/2025/poster/119097,https://proceedings.neurips.cc/paper_files/paper/2025/hash/e61c3ae7d4ace10e1fb6f9fd25218fd7-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/e61c3ae7d4ace10e1fb6f9fd25218fd7-Paper-Conference.pdf,,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=Ep4mYI7OLF,,NeurIPS_119097,"@misc{NeurIPS_119097,
  title = {{A Private Approximation of the 2nd-Moment Matrix of Any Subsamplable Input}},
  author = {Bar Mahpud and Or Sheffet},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=Ep4mYI7OLF}
}",Generated from catalogue metadata,https://openreview.net/forum?id=Ep4mYI7OLF
NeurIPS:120317,NeurIPS 2025,120317,A Stable Whitening Optimizer for Efficient Neural Network Training,,Kevin Frans; Sergey Levine; Pieter Abbeel,Accept (poster),Matrix computation; Optimizer,"B: Shampoo, structured curvature, and matrix-function computation; X1: Matrix functions, roots and matrix geometry",Whitened and normalized matrix-gradient updates,SPlus reuses a historical Shampoo eigenbasis and normalizes current gradients in that basis.,Cached eigenbases and bounded updates define a particular optimizer; they are not exact inversion of the current full Hessian.,Deep learning,,,"Optimizer: SPlus combines cached Shampoo eigenbases with current-gradient normalization, shape-aware scaling and iterate averaging to stabilize language-model training. | Matrix computation: SPlus reuses a historical Shampoo eigenbasis and normalizes current gradients in that basis.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=0T8i3uXq3O,https://neurips.cc/virtual/2025/poster/120317,https://proceedings.neurips.cc/paper_files/paper/2025/hash/fe722dac731f46d30b043c6b0db9a3ef-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/fe722dac731f46d30b043c6b0db9a3ef-Paper-Conference.pdf,,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=0T8i3uXq3O,,NeurIPS_120317,"@misc{NeurIPS_120317,
  title = {{A Stable Whitening Optimizer for Efficient Neural Network Training}},
  author = {Kevin Frans and Sergey Levine and Pieter Abbeel},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=0T8i3uXq3O}
}",Generated from catalogue metadata,https://openreview.net/forum?id=0T8i3uXq3O
NeurIPS:116559,NeurIPS 2025,116559,A Theoretical Framework for Grokking: Interpolation followed by Riemannian Norm Minimisation,,Etienne Boursier; Scott Pesme; Radu-Alexandru Dragomir,Accept (poster),Manifold; Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; M5: Supporting geometry, statistics, and training-dynamics papers; T6: Feature learning, implicit bias and generalization dynamics; T7: Initialization, normalization, weight decay and regularization",,,,,Manifold of loss minimizers,Related/supporting,Optimizer: Analyzes grokking through slow norm reduction on a manifold of minimizers induced by weight decay. | Manifold: Explains grokking through weight-decay-induced slow Riemannian norm minimization; primarily an analysis of training dynamics. | Training dynamics: Analyzes grokking through slow norm reduction on a manifold of minimizers induced by weight decay.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=iSvAAHGFSw,https://neurips.cc/virtual/2025/poster/116559,https://proceedings.neurips.cc/paper_files/paper/2025/hash/de18052eb17cce56554a9637dd5aadba-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/de18052eb17cce56554a9637dd5aadba-Paper-Conference.pdf,,2026-09-24,Theory / controlled models,Weight decay; minimizer geometry; grokking delay,Analyzes grokking through slow norm reduction on a manifold of minimizers induced by weight decay.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2025,Accepted,https://openreview.net/forum?id=iSvAAHGFSw,,NeurIPS_116559,"@misc{NeurIPS_116559,
  title = {{A Theoretical Framework for Grokking: Interpolation followed by Riemannian Norm Minimisation}},
  author = {Etienne Boursier and Scott Pesme and Radu-Alexandru Dragomir},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=iSvAAHGFSw}
}",Generated from catalogue metadata,https://openreview.net/forum?id=iSvAAHGFSw
NeurIPS:118337,NeurIPS 2025,118337,Acceleration via silver step-size on Riemannian manifolds with applications to Wasserstein space,,Jiyoung Park; Abhishek Roy; Jonathan W. Siegel; Anirban Bhattacharya,Accept (poster),Manifold,M1: General manifold algorithms and convergence theory,,,,,Riemannian and Wasserstein geometry,Direct algorithm/theory/application,"Manifold: Transfers silver-step acceleration ideas to manifold gradient descent using vector transport, including positive-definite matrix examples.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=Nl02znfTCT,https://neurips.cc/virtual/2025/poster/118337,https://proceedings.neurips.cc/paper_files/paper/2025/hash/347dae37f42ba41506cf7af753f98560-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/347dae37f42ba41506cf7af753f98560-Paper-Conference.pdf,,2026-09-24,,,,,0,2025,Accepted,https://openreview.net/forum?id=Nl02znfTCT,,NeurIPS_118337,"@misc{NeurIPS_118337,
  title = {{Acceleration via silver step-size on Riemannian manifolds with applications to Wasserstein space}},
  author = {Jiyoung Park and Abhishek Roy and Jonathan W. Siegel and Anirban Bhattacharya},
  year = {2025},
  note = {NeurIPS 2025; Accept (poster)},
  url = {https://openreview.net/forum?id=Nl02znfTCT}
}",Generated from catalogue metadata,https://openreview.net/forum?id=Nl02znfTCT
