key,conference,title,acceptance,curated,themes,openreview_url
ICLR:10006395,ICLR 2026,Your Language Model Secretly Contains Personality Subnetworks,Accept (Poster),False,,https://openreview.net/forum?id=zzo3Sy3NSX
ICLR:10006396,ICLR 2026,Polychromic Objectives for Reinforcement Learning,Accept (Poster),False,,https://openreview.net/forum?id=zzTQISAGUp
ICLR:10006397,ICLR 2026,vAttention: Verified Sparse Attention via Sampling,Accept (Poster),False,,https://openreview.net/forum?id=zzTDulLys0
ICLR:10006398,ICLR 2026,Diffusion Bridge Variational Inference for Deep Gaussian Processes,Accept (Poster),False,,https://openreview.net/forum?id=zyRmy0Ch9a
ICLR:10006399,ICLR 2026,Preference-based Policy Optimization from Sparse-reward Offline Dataset,Accept (Poster),False,,https://openreview.net/forum?id=zyLI9LEmry
ICLR:10006400,ICLR 2026,Teaching VLMs to Admit Uncertainty in OCR from Lossy Visual Inputs,Accept (Poster),False,,https://openreview.net/forum?id=zyCjizqOxB
ICLR:10006401,ICLR 2026,Lightweight Transformer for EEG Classification via Balanced Signed Graph Algorithm Unrolling,Accept (Poster),False,,https://openreview.net/forum?id=zxsLio384j
ICLR:10006402,ICLR 2026,Clustering by Denoising: Latent plug-and-play diffusion for single-cell embeddings,Accept (Poster),False,,https://openreview.net/forum?id=zxlbh55PhC
ICLR:10006403,ICLR 2026,Segment Any Events with Language,Accept (Poster),False,,https://openreview.net/forum?id=zxito57J6x
ICLR:10006404,ICLR 2026,Traceable Evidence Enhanced Visual Grounded Reasoning: Evaluation and Method,Accept (Poster),False,,https://openreview.net/forum?id=zwMpimSZEq
ICLR:10006405,ICLR 2026,QeRL: Beyond Efficiency - Quantization-enhanced Reinforcement Learning for LLMs,Accept (Poster),False,,https://openreview.net/forum?id=zw8zxMJJlm
ICLR:10006406,ICLR 2026,Beyond Scattered Acceptance: Fast and Coherent Inference for DLMs via Longest Stable Prefixes,Accept (Poster),False,,https://openreview.net/forum?id=zvw9Hiwa0i
ICLR:10006407,ICLR 2026,Algorithmic Guarantees for Distilling Supervised and Offline RL Datasets,Accept (Poster),False,,https://openreview.net/forum?id=zueIXg5FP5
ICLR:10006408,ICLR 2026,STVG-R1: Incentivizing Instance-Level Reasoning and Grounding in Videos via Reinforcement Learning,Accept (Poster),False,,https://openreview.net/forum?id=zuPxAZgT9F
ICLR:10006409,ICLR 2026,FastGRPO: Accelerating Policy Optimization via Concurrency-aware Speculative Decoding and Online Draft Learning,Accept (Poster),False,,https://openreview.net/forum?id=zuGt6TYYtS
ICLR:10006410,ICLR 2026,Conformal Prediction with Corrupted Labels: Uncertain Imputation and Robust Re-weighting,Accept (Poster),False,,https://openreview.net/forum?id=ztEKLEUNKS
ICLR:10006411,ICLR 2026,"Forget Many, Forget Right: Scalable and Precise Concept Unlearning in Diffusion Models",Accept (Poster),False,,https://openreview.net/forum?id=zt7IPzsXrT
ICLR:10006412,ICLR 2026,LMask: Learn to Solve Constrained Routing Problems with Lazy Masking,Accept (Poster),False,,https://openreview.net/forum?id=zsNUc2iMzp
ICLR:10006413,ICLR 2026,WSVD: Weighted Low-Rank Approximation for Fast and Efficient Execution of Low-Precision Vision-Language Models,Accept (Poster),True,Matrix computation,https://openreview.net/forum?id=zrmQ4koOw9
ICLR:10006414,ICLR 2026,Towards Generalizable PDE Dynamics Forecasting via Physics-Guided Invariant Learning,Accept (Poster),False,,https://openreview.net/forum?id=zrQkWSecMR
ICLR:10006415,ICLR 2026,GuirlVG: Incentivize GUI Visual Grounding via Empirical Exploration on Reinforcement Learning,Accept (Poster),False,,https://openreview.net/forum?id=zrH2A1upAo
ICLR:10006416,ICLR 2026,On The Surprising Effectiveness of a Single Global Merging in Decentralized Learning,Accept (Oral),False,,https://openreview.net/forum?id=zrFnwRHuQo
ICLR:10006418,ICLR 2026,Take Note: Your Molecular Dataset Is Probably Aligned,Accept (Poster),False,,https://openreview.net/forum?id=zrCGvLOrTL
ICLR:10006419,ICLR 2026,Aegis: Automated Error Generation and Attribution for Multi-Agent Systems,Accept (Poster),False,,https://openreview.net/forum?id=zqcYoxXiN3
ICLR:10006420,ICLR 2026,Prompt Curriculum Learning for Efficient LLM Post-Training,Accept (Poster),False,,https://openreview.net/forum?id=zqOCacBD3P
ICLR:10006421,ICLR 2026,R2PS: Worst-Case Robust Real-Time Pursuit Strategies under Partial Observability,Accept (Poster),False,,https://openreview.net/forum?id=zqA7Q9Q21L
ICLR:10006422,ICLR 2026,Explain in Your Own Words: Improving Reasoning via Token-Selective Dual Knowledge Distillation,Accept (Poster),False,,https://openreview.net/forum?id=zph7e5JaXc
ICLR:10006423,ICLR 2026,Bi-LoRA: Efficient Sharpness-Aware Minimization for Fine-Tuning Large-Scale Models,Accept (Poster),False,,https://openreview.net/forum?id=zoYPlgX1bH
ICLR:10006424,ICLR 2026,KnowledgeSmith: Uncovering Knowledge Updating in LLMs with Model Editing and Unlearning,Accept (Poster),False,,https://openreview.net/forum?id=znnA2Opw6v
ICLR:10006425,ICLR 2026,Translate Policy to Language: Flow Matching Generated Rewards for LLM Explanations,Accept (Poster),False,,https://openreview.net/forum?id=zmZsWCGzUV
ICLR:10006426,ICLR 2026,Captain Cinema: Towards Short Movie Generation,Accept (Poster),False,,https://openreview.net/forum?id=zlNZBxQZIC
ICLR:10006427,ICLR 2026,Attention Is All You Need for KV Cache in Diffusion LLMs,Accept (Poster),False,,https://openreview.net/forum?id=zkUbhdAiFJ
ICLR:10006428,ICLR 2026,Dancing in Chains: Strategic Persuasion in Academic Rebuttal via Theory of Mind,Accept (Poster),False,,https://openreview.net/forum?id=zkCZDdeS9s
ICLR:10006429,ICLR 2026,Towards True Speech-to-Speech Models Without Text Guidance,Accept (Poster),False,,https://openreview.net/forum?id=zjaV5zmlkl
ICLR:10006430,ICLR 2026,TSM-Bench: Detecting LLM-Generated Text in Real-World Wikipedia Editing Practices,Accept (Poster),False,,https://openreview.net/forum?id=zimuL7ZmIi
ICLR:10006431,ICLR 2026,Towards Cognitively-Faithful Decision-Making Models to Improve AI Alignment,Accept (Poster),False,,https://openreview.net/forum?id=ziP9zetlLp
ICLR:10006432,ICLR 2026,FieryGS: In-the-Wild Fire Synthesis with Physics-Integrated Gaussian Splatting,Accept (Poster),False,,https://openreview.net/forum?id=ziKFH7whvy
ICLR:10006433,ICLR 2026,CLoD-GS: Continuous Level-of-Detail via 3D Gaussian Splatting,Accept (Poster),False,,https://openreview.net/forum?id=zgs0L72R4c
ICLR:10006434,ICLR 2026,ConsisDrive: Identity-Preserving Driving World Models for Video Generation by Instance Mask,Accept (Poster),False,,https://openreview.net/forum?id=zgqFQM8VNe
ICLR:10006435,ICLR 2026,Silent Leaks: Implicit Knowledge Extraction Attack on RAG Systems,Accept (Poster),False,,https://openreview.net/forum?id=zfVICPB5Sv
ICLR:10006436,ICLR 2026,MnemoDyn: Learning Resting State Dynamics from  $40$K FMRI sequences,Accept (Poster),False,,https://openreview.net/forum?id=zexMILcQOV
ICLR:10006437,ICLR 2026,Why Keep Your Doubts to Yourself? Trading Visual Uncertainties among Vision-Language Models,Accept (Poster),False,,https://openreview.net/forum?id=zeqCjGQB4U
ICLR:10006438,ICLR 2026,Dynamic Multi-sample Mixup with Gradient Exploration for Open-set Graph Anomaly Detection,Accept (Poster),False,,https://openreview.net/forum?id=zefuSJ3nOg
ICLR:10006439,ICLR 2026,Synthesising Counterfactual Explanations via Label-Conditional Gaussian Mixture Variational Autoencoders,Accept (Poster),False,,https://openreview.net/forum?id=zd9R2T4HiX
ICLR:10006440,ICLR 2026,VenusX: Unlocking Fine-Grained Functional Understanding of Proteins,Accept (Poster),False,,https://openreview.net/forum?id=zcmL592XRG
ICLR:10006441,ICLR 2026,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,Accept (Poster),False,,https://openreview.net/forum?id=zcAwK50ft0
ICLR:10006442,ICLR 2026,TaTToo: Tool-Grounded Thinking PRM for Test-Time Scaling in Tabular Reasoning,Accept (Poster),False,,https://openreview.net/forum?id=zc1ezBrr5m
ICLR:10006443,ICLR 2026,Accelerated Learning with Linear Temporal Logic using Differentiable Simulation,Accept (Poster),False,,https://openreview.net/forum?id=zbdhhlIy8o
ICLR:10006444,ICLR 2026,Motion-Aligned Word Embeddings for Text-to-Motion Generation,Accept (Poster),False,,https://openreview.net/forum?id=zbHpRwzrq5
ICLR:10006445,ICLR 2026,MIRACLE: Model-free Imitation and Reinforcement Learning for Adaptive Cut-Selection,Accept (Poster),False,,https://openreview.net/forum?id=zZyxHmId3w
ICLR:10006446,ICLR 2026,SAC Flow: Sample-Efficient Reinforcement Learning of Flow-Based Policies via Velocity-Reparameterized Sequential Modeling,Accept (Poster),False,,https://openreview.net/forum?id=zZvWj4JrYj
ICLR:10006447,ICLR 2026,Debugging Concept Bottleneck Models through Removal and Retraining,Accept (Poster),False,,https://openreview.net/forum?id=zZNYUkBS77
ICLR:10006448,ICLR 2026,Does the Data Processing Inequality Reflect Practice? On the Utility of Low-Level Tasks,Accept (Poster),False,,https://openreview.net/forum?id=zWxXfe7cwH
ICLR:10006449,ICLR 2026,SealQA: Raising the Bar for Reasoning in Search-Augmented Language Models,Accept (Poster),False,,https://openreview.net/forum?id=zWb7ueH16c
ICLR:10006450,ICLR 2026,Scaling Laws of SignSGD in Linear Regression: When Does It Outperform SGD?,Accept (Poster),True,Optimizer; Training dynamics,https://openreview.net/forum?id=zVwRP0ikrx
ICLR:10006451,ICLR 2026,Generalization Below the Edge of Stability: The Role of Data Geometry,Accept (Poster),True,Optimizer; Training dynamics,https://openreview.net/forum?id=zVmS7G6Dyi
ICLR:10006452,ICLR 2026,Lavida-O: Elastic Large Masked Diffusion Models for Unified Multimodal Understanding and Generation,Accept (Poster),False,,https://openreview.net/forum?id=zV5FeNiWDO
