key,conference,id,title,program_title,authors,acceptance,themes,categories,quantity,method,caveat,matrix_scope,geometry,manifold_scope,relevance_notes,evidence,fulltext_sources,openreview_url,conference_url,proceedings_url,pdf_url,code_links,snapshot_date,training_scope,hyperparameters,training_finding,training_caveat,training_reading_rank,year,publication_status,source_url,doi,citation_key,bibtex,bibtex_kind,bibtex_source
ICLR:10010069,ICLR 2026,10010069,A Block Coordinate Descent Method for Nonsmooth Composite Optimization under Orthogonality Constraints,,Ganzhao Yuan,Accept (Poster),Manifold,M1: General manifold algorithms and convergence theory,,,,,Orthogonality constraints / Stiefel-type feasible matrices,Direct algorithm/theory/application,Manifold: OBCD performs feasible block-coordinate updates for nonsmooth composite objectives and establishes stronger block stationarity and convergence rates.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=L3Or2mhuCH,https://iclr.cc/virtual/2026/poster/10010069,,https://openreview.net/pdf?id=L3Or2mhuCH,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=L3Or2mhuCH,,ICLR_10010069,"@misc{ICLR_10010069,
  title = {{A Block Coordinate Descent Method for Nonsmooth Composite Optimization under Orthogonality Constraints}},
  author = {Ganzhao Yuan},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=L3Or2mhuCH}
}",Generated from catalogue metadata,https://openreview.net/forum?id=L3Or2mhuCH
ICLR:10010984,ICLR 2026,10010984,A Spectral-Grassmann Wasserstein metric for operator representations of dynamical systems,,Thibaut Germain; Rémi Flamary; Vladimir Kostic; Karim Lounici,Accept (Poster),Manifold,"M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Spectral/Grassmann geometry and Wasserstein transport,Related/supporting,Manifold: Defines distances and Frechet means for dynamical-system operators; relevant geometric infrastructure rather than a general descent algorithm.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=B02EqvyiF3,https://iclr.cc/virtual/2026/poster/10010984,,https://openreview.net/pdf?id=B02EqvyiF3,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=B02EqvyiF3,,ICLR_10010984,"@misc{ICLR_10010984,
  title = {{A Spectral-Grassmann Wasserstein metric for operator representations of dynamical systems}},
  author = {Thibaut Germain and Rémi Flamary and Vladimir Kostic and Karim Lounici},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=B02EqvyiF3}
}",Generated from catalogue metadata,https://openreview.net/forum?id=B02EqvyiF3
ICLR:10011738,ICLR 2026,10011738,Adaptive gradient descent on Riemannian manifolds and its applications to Gaussian variational inference,,Jiyoung Park; Jaewook J. Suh; Bofan Wang; Anirban Bhattacharya; Shiqian Ma,Accept (Poster),Manifold,M1: General manifold algorithms and convergence theory,,,,,General Riemannian manifolds; Gaussian variational inference,Direct algorithm/theory/application,"Manifold: RAdaGD adapts step sizes without line search and proves convergence under local geodesic smoothness and generalized geodesic convexity, with additional assumptions for VI.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=2TTQjRkgFn,https://iclr.cc/virtual/2026/poster/10011738,,https://openreview.net/pdf?id=2TTQjRkgFn,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=2TTQjRkgFn,,ICLR_10011738,"@misc{ICLR_10011738,
  title = {{Adaptive gradient descent on Riemannian manifolds and its applications to Gaussian variational inference}},
  author = {Jiyoung Park and Jaewook J. Suh and Bofan Wang and Anirban Bhattacharya and Shiqian Ma},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=2TTQjRkgFn}
}",Generated from catalogue metadata,https://openreview.net/forum?id=2TTQjRkgFn
ICLR:10008176,ICLR 2026,10008176,Barriers for Learning in an Evolving World:  Mathematical Understanding of Loss of Plasticity,,Amir Joudaki; Giulia Lanzillotta; Mohammad Samragh; Iman Mirzadeh; Keivan Alizadeh-Vahid; Thomas Hofmann; Mehrdad Farajtabar; Fartash Faghri,Accept (Poster),Manifold; Optimizer,"H: Learning rates, batch sizes, parameterization, and plasticity; M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Invariant submanifolds of parameter dynamics,Related/supporting,"Optimizer: Analyzes plasticity loss as gradient dynamics becoming trapped in invariant parameter manifolds and studies architectural interventions; supporting theory rather than a new LLM optimizer. | Manifold: Explains loss of plasticity through trapping near frozen- and cloned-unit manifolds. These are dynamical-system obstructions, not a prescribed feasible manifold.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=g6kof5fSba,https://iclr.cc/virtual/2026/poster/10008176,,https://openreview.net/pdf?id=g6kof5fSba,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=g6kof5fSba,,ICLR_10008176,"@misc{ICLR_10008176,
  title = {{Barriers for Learning in an Evolving World:  Mathematical Understanding of Loss of Plasticity}},
  author = {Amir Joudaki and Giulia Lanzillotta and Mohammad Samragh and Iman Mirzadeh and Keivan Alizadeh-Vahid and Thomas Hofmann and Mehrdad Farajtabar and Fartash Faghri},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=g6kof5fSba}
}",Generated from catalogue metadata,https://openreview.net/forum?id=g6kof5fSba
ICLR:10010974,ICLR 2026,10010974,Counterfactual Explanations on Robust Perceptual Geodesics,,Eslam Zaher; Maciej Trzaskowski; Quan Nguyen; Fred Roosta,Accept (Poster),Manifold,"M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Perceptual Riemannian metric in latent space,Related/supporting,"Manifold: PCG constructs counterfactuals along perceptual geodesics; geometry-guided trajectory construction, adjacent to manifold optimization.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=B5RBKM4vPY,https://iclr.cc/virtual/2026/poster/10010974,,https://openreview.net/pdf?id=B5RBKM4vPY,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=B5RBKM4vPY,,ICLR_10010974,"@misc{ICLR_10010974,
  title = {{Counterfactual Explanations on Robust Perceptual Geodesics}},
  author = {Eslam Zaher and Maciej Trzaskowski and Quan Nguyen and Fred Roosta},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=B5RBKM4vPY}
}",Generated from catalogue metadata,https://openreview.net/forum?id=B5RBKM4vPY
ICLR:10011344,ICLR 2026,10011344,Directional Textual Inversion for Personalized Text-to-Image Generation,,Kunhee Kim; NaHyeon Park; Kibeom Hong; Hyunjung Shim,Accept (Poster),Manifold,M3: Applications that explicitly optimize or solve problems on manifolds,,,,,Unit hypersphere of text-token embeddings,Direct algorithm/theory/application,Manifold: Directional Textual Inversion fixes embedding magnitude and optimizes direction with Riemannian SGD and a von Mises-Fisher prior.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=6wA4qpyyU9,https://iclr.cc/virtual/2026/poster/10011344,,https://openreview.net/pdf?id=6wA4qpyyU9,https://github.com/kunheek/dti.,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=6wA4qpyyU9,,ICLR_10011344,"@misc{ICLR_10011344,
  title = {{Directional Textual Inversion for Personalized Text-to-Image Generation}},
  author = {Kunhee Kim and NaHyeon Park and Kibeom Hong and Hyunjung Shim},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=6wA4qpyyU9}
}",Generated from catalogue metadata,https://openreview.net/forum?id=6wA4qpyyU9
ICLR:10010597,ICLR 2026,10010597,Efficient Orthogonal Fine-Tuning with Principal Subspace Adaptation,,Fei Wu; Jia Hu; Geyong Min; Shiqiang Wang,Accept (Poster),Manifold; Optimizer,"I: Fine-tuning, LoRA, privacy, and specialized post-training; M4: Related constrained and geometry-aware optimization",,,,,"Principal-subspace orthogonal transformations, gradually relaxed",Related/supporting,"Optimizer: PSOFT restricts orthogonal fine-tuning transformations to a principal weight subspace and gradually relaxes orthogonality for adaptation. | Manifold: PSOFT uses constrained/reparameterized orthogonal fine-tuning and tunable relaxations; useful for manifold-inspired PEFT, with deliberate departure from strict orthogonality.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=FSHrinMArK,https://iclr.cc/virtual/2026/poster/10010597,,https://openreview.net/pdf?id=FSHrinMArK,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=FSHrinMArK,,ICLR_10010597,"@misc{ICLR_10010597,
  title = {{Efficient Orthogonal Fine-Tuning with Principal Subspace Adaptation}},
  author = {Fei Wu and Jia Hu and Geyong Min and Shiqiang Wang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=FSHrinMArK}
}",Generated from catalogue metadata,https://openreview.net/forum?id=FSHrinMArK
ICLR:10010872,ICLR 2026,10010872,Energy-Regularized Sequential Model Editing on Hyperspheres,,Qingyuan Liu; Jia-Chen Gu; Yunzhi Yao; Hong Wang; Nanyun (Violet) Peng,Accept (Poster),Manifold,"M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Hyperspherical neuron-weight geometry,Related/supporting,Manifold: SPHERE uses energy-based regularization and sparse projection for sequential LLM editing; not strict optimization on a fixed sphere manifold.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=CHsdtzCip6,https://iclr.cc/virtual/2026/poster/10010872,,https://openreview.net/pdf?id=CHsdtzCip6,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=CHsdtzCip6,,ICLR_10010872,"@misc{ICLR_10010872,
  title = {{Energy-Regularized Sequential Model Editing on Hyperspheres}},
  author = {Qingyuan Liu and Jia-Chen Gu and Yunzhi Yao and Hong Wang and Nanyun (Violet) Peng},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=CHsdtzCip6}
}",Generated from catalogue metadata,https://openreview.net/forum?id=CHsdtzCip6
ICLR:10006851,ICLR 2026,10006851,Exploring Diverse Generation Paths via Inference-time Stiefel Activation Steering,,Dongxuan Zhu; Ly Khanh; Andy Yat-Ming Cheung; Man-Chung Yue; Viet Anh Nguyen,Accept (Poster),Manifold,M3: Applications that explicitly optimize or solve problems on manifolds,,,,,Stiefel manifold of activation-steering directions,Direct algorithm/theory/application,"Manifold: STARS jointly optimizes orthogonal steering directions for diverse LLM generations, with a Riemannian GD formulation and a fast one-step inference approximation.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=v0QOVSVPtq,https://iclr.cc/virtual/2026/poster/10006851,,https://openreview.net/pdf?id=v0QOVSVPtq,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=v0QOVSVPtq,,ICLR_10006851,"@misc{ICLR_10006851,
  title = {{Exploring Diverse Generation Paths via Inference-time Stiefel Activation Steering}},
  author = {Dongxuan Zhu and Ly Khanh and Andy Yat-Ming Cheung and Man-Chung Yue and Viet Anh Nguyen},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=v0QOVSVPtq}
}",Generated from catalogue metadata,https://openreview.net/forum?id=v0QOVSVPtq
ICLR:10006869,ICLR 2026,10006869,Exponential-Wrapped Mechanisms: Differential Privacy on Hadamard Manifolds Made Practical,,Yangdi Jiang; Xiaotian Chang; Lei Ding; Linglong Kong; Bei Jiang,Accept (Poster),Manifold,"M5: Supporting geometry, statistics, and training-dynamics papers",,,,,"Hadamard manifolds, including SPD examples",Related/supporting,"Manifold: Exponential-wrapped privacy mechanisms and privatized Frechet means; relevant to manifold statistics, with no new optimization algorithm as the central contribution.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=ulCVfMOo30,https://iclr.cc/virtual/2026/poster/10006869,,https://openreview.net/pdf?id=ulCVfMOo30,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=ulCVfMOo30,,ICLR_10006869,"@misc{ICLR_10006869,
  title = {{Exponential-Wrapped Mechanisms: Differential Privacy on Hadamard Manifolds Made Practical}},
  author = {Yangdi Jiang and Xiaotian Chang and Lei Ding and Linglong Kong and Bei Jiang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=ulCVfMOo30}
}",Generated from catalogue metadata,https://openreview.net/forum?id=ulCVfMOo30
