key,conference,id,title,program_title,authors,acceptance,themes,categories,quantity,method,caveat,matrix_scope,geometry,manifold_scope,relevance_notes,evidence,fulltext_sources,openreview_url,conference_url,proceedings_url,pdf_url,code_links,snapshot_date,training_scope,hyperparameters,training_finding,training_caveat,training_reading_rank,year,publication_status,source_url,doi,citation_key,bibtex,bibtex_kind,bibtex_source
ICLR:10008484,ICLR 2026,10008484,$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization,,Yuandong Tian,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T4: Compute, data and model scaling laws; T6: Feature learning, implicit bias and generalization dynamics; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,"Optimizer: Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization. | Training dynamics: Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=ceIBRhJpUr,https://iclr.cc/virtual/2026/poster/10008484,,https://openreview.net/pdf?id=ceIBRhJpUr,,2026-09-23,Theory / controlled models,Feature emergence; delayed generalization; optimizer,"Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization.","Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=ceIBRhJpUr,,ICLR_10008484,"@misc{ICLR_10008484,
  title = {{$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization}},
  author = {Yuandong Tian},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=ceIBRhJpUr}
}",Generated from catalogue metadata,https://openreview.net/forum?id=ceIBRhJpUr
ICLR:10008268,ICLR 2026,10008268,$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers,,Benjamin Thérien; Charles-Étienne Joseph; Boris Knyazev; Edouard Oyallon; Irina Rish; Eugene Belilovsky,Accept (Poster),Optimizer; Training dynamics,"C: General-purpose matrix, spectral, adaptive, and learned optimizers; T3: Width/depth scaling and hyperparameter transfer",,,,,,,Optimizer: MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons. | Training dynamics: MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=f8z2bzOLK2,https://iclr.cc/virtual/2026/poster/10008268,,https://openreview.net/pdf?id=f8z2bzOLK2,,2026-09-23,LLM training,Learned-optimizer parameterization; width; training horizon,MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=f8z2bzOLK2,,ICLR_10008268,"@misc{ICLR_10008268,
  title = {{$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers}},
  author = {Benjamin Thérien and Charles-Étienne Joseph and Boris Knyazev and Edouard Oyallon and Irina Rish and Eugene Belilovsky},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=f8z2bzOLK2}
}",Generated from catalogue metadata,https://openreview.net/forum?id=f8z2bzOLK2
ICLR:10008011,ICLR 2026,10008011,A Theoretical Analysis of Mamba’s Training Dynamics: Filtering Relevant Features for Generalization in State Space Models,,Mugunthan Shandirasegaran; Hongkang Li; Songyang Zhang; Meng Wang; Shuai Zhang,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T6: Feature learning, implicit bias and generalization dynamics",,,,,,,Training dynamics: Explains feature selection by a simplified Mamba block through non-asymptotic learning dynamics.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=hvpKqEYJjj,https://iclr.cc/virtual/2026/poster/10008011,,https://openreview.net/pdf?id=hvpKqEYJjj,,2026-09-23,Theory / controlled models,Signal/noise ratio; training time; sample size,Explains feature selection by a simplified Mamba block through non-asymptotic learning dynamics.,The model is single-layer/single-head with structured synthetic data.,0,2026,Accepted,https://openreview.net/forum?id=hvpKqEYJjj,,ICLR_10008011,"@misc{ICLR_10008011,
  title = {{A Theoretical Analysis of Mamba’s Training Dynamics: Filtering Relevant Features for Generalization in State Space Models}},
  author = {Mugunthan Shandirasegaran and Hongkang Li and Songyang Zhang and Meng Wang and Shuai Zhang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=hvpKqEYJjj}
}",Generated from catalogue metadata,https://openreview.net/forum?id=hvpKqEYJjj
ICLR:10006767,ICLR 2026,10006767,A universal compression theory for lottery ticket hypothesis and neural scaling laws,,Hong-Yi Wang; Di Luo; Tomaso Poggio; Isaac Chuang; Liu Ziyin,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T3: Width/depth scaling and hyperparameter transfer; T4: Compute, data and model scaling laws",,,,,,,Training dynamics: Develops permutation-invariant compression theory with consequences for learning dynamics and scaling laws.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=vxkzW4ljeX,https://iclr.cc/virtual/2026/poster/10006767,,https://openreview.net/pdf?id=vxkzW4ljeX,,2026-09-23,Theory / controlled models,Width; sample size; compression level,Develops permutation-invariant compression theory with consequences for learning dynamics and scaling laws.,Asymptotic existence/construction results are not an off-the-shelf compression recipe for any pretrained LLM.,0,2026,Accepted,https://openreview.net/forum?id=vxkzW4ljeX,,ICLR_10006767,"@misc{ICLR_10006767,
  title = {{A universal compression theory for lottery ticket hypothesis and neural scaling laws}},
  author = {Hong-Yi Wang and Di Luo and Tomaso Poggio and Isaac Chuang and Liu Ziyin},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=vxkzW4ljeX}
}",Generated from catalogue metadata,https://openreview.net/forum?id=vxkzW4ljeX
ICLR:10008058,ICLR 2026,10008058,Adaptive Methods Are Preferable in High Privacy Settings: An SDE Perspective,,Enea Monzio Compagnoni; Alessandro Stanghellini; Rustem Islamov; Aurelien Lucchi; Anastasia Koloskova,Accept (Poster),Optimizer; Training dynamics,"I: Fine-tuning, LoRA, privacy, and specialized post-training; T1: Learning-rate selection, warm-up and schedules; T2: Batch size, gradient noise and training efficiency; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,Optimizer: SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels. | Training dynamics: SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=hSpA4DAoMk,https://iclr.cc/virtual/2026/poster/10008058,,https://openreview.net/pdf?id=hSpA4DAoMk,,2026-09-23,General optimization,Privacy noise; adaptive updates; hyperparameter transfer,SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=hSpA4DAoMk,,ICLR_10008058,"@misc{ICLR_10008058,
  title = {{Adaptive Methods Are Preferable in High Privacy Settings: An SDE Perspective}},
  author = {Enea Monzio Compagnoni and Alessandro Stanghellini and Rustem Islamov and Aurelien Lucchi and Anastasia Koloskova},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=hSpA4DAoMk}
}",Generated from catalogue metadata,https://openreview.net/forum?id=hSpA4DAoMk
ICLR:10011962,ICLR 2026,10011962,"ATLAS: Adaptive Transfer Scaling Laws for Multilingual Pretraining, Finetuning, and Decoding the Curse of Multilinguality",,Shayne Longpre; Sneha Kudugunta; Niklas Muennighoff; I-Hung Hsu; Isaac Caswell; Alex Pentland; Sercan Arik; Chen-Yu Lee; Sayna Ebrahimi,Accept (Poster),Training dynamics,"T4: Compute, data and model scaling laws",,,,,,,"Training dynamics: ATLAS models multilingual transfer and resource allocation, including when multilingual fine-tuning beats training from scratch.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=0BkvUY61MX,https://iclr.cc/virtual/2026/poster/10011962,,https://openreview.net/pdf?id=0BkvUY61MX,,2026-09-23,LLM training,Language mixture; model size; data size; pretrain/fine-tune allocation,"ATLAS models multilingual transfer and resource allocation, including when multilingual fine-tuning beats training from scratch.",Cross-language transfer is estimated empirically and varies by the evaluated languages and data.,0,2026,Accepted,https://openreview.net/forum?id=0BkvUY61MX,,ICLR_10011962,"@misc{ICLR_10011962,
  title = {{ATLAS: Adaptive Transfer Scaling Laws for Multilingual Pretraining, Finetuning, and Decoding the Curse of Multilinguality}},
  author = {Shayne Longpre and Sneha Kudugunta and Niklas Muennighoff and I-Hung Hsu and Isaac Caswell and Alex Pentland and Sercan Arik and Chen-Yu Lee and Sayna Ebrahimi},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=0BkvUY61MX}
}",Generated from catalogue metadata,https://openreview.net/forum?id=0BkvUY61MX
ICLR:10007569,ICLR 2026,10007569,Beyond Outliers: A Study of Optimizers Under Quantization,,Georgios Vlassis; Saleh Ashkboos; Alexandra Volkova; Torsten Hoefler; Dan Alistarh,Accept (Poster),Optimizer; Training dynamics,"D: Memory-efficient and low-precision optimizers; T4: Compute, data and model scaling laws; T7: Initialization, normalization, weight decay and regularization; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,Optimizer: Systematic study of how optimizer choice affects post-training quantization and quantization-aware training; compares six optimizers and analyzes quantization scaling. | Training dynamics: Systematic study of how optimizer choice affects post-training quantization and quantization-aware training; compares six optimizers and analyzes quantization scaling.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=mVldAuDAn5,https://iclr.cc/virtual/2026/poster/10007569,,https://openreview.net/pdf?id=mVldAuDAn5,,2026-09-23,LLM training,Optimizer choice; quantization; precision,Systematic study of how optimizer choice affects post-training quantization and quantization-aware training; compares six optimizers and analyzes quantization scaling.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=mVldAuDAn5,,ICLR_10007569,"@misc{ICLR_10007569,
  title = {{Beyond Outliers: A Study of Optimizers Under Quantization}},
  author = {Georgios Vlassis and Saleh Ashkboos and Alexandra Volkova and Torsten Hoefler and Dan Alistarh},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=mVldAuDAn5}
}",Generated from catalogue metadata,https://openreview.net/forum?id=mVldAuDAn5
ICLR:10011765,ICLR 2026,10011765,Can Small Training Runs Reliably Guide Data Curation? Rethinking Proxy-Model Practice,,Jiachen (Tianhao) Wang; Tong Wu; Kaifeng Lyu; James Y Zou; Dawn Song; Ruoxi Jia; Prateek Mittal,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T1: Learning-rate selection, warm-up and schedules; T4: Compute, data and model scaling laws",,,,,,,Training dynamics: Shows small-model data rankings can flip with hyperparameters and studies reduced proxy rates as a more reliable comparison protocol.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=2FZC0c06jP,https://iclr.cc/virtual/2026/poster/10011765,,https://openreview.net/pdf?id=2FZC0c06jP,,2026-09-23,LLM training,Proxy learning rate; data recipe; tuning budget; scale,Shows small-model data rankings can flip with hyperparameters and studies reduced proxy rates as a more reliable comparison protocol.,A theoretical ordering result is for random-feature models; LLM reliability is empirically tested across recipes.,13,2026,Accepted,https://openreview.net/forum?id=2FZC0c06jP,,ICLR_10011765,"@misc{ICLR_10011765,
  title = {{Can Small Training Runs Reliably Guide Data Curation? Rethinking Proxy-Model Practice}},
  author = {Jiachen (Tianhao) Wang and Tong Wu and Kaifeng Lyu and James Y Zou and Dawn Song and Ruoxi Jia and Prateek Mittal},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=2FZC0c06jP}
}",Generated from catalogue metadata,https://openreview.net/forum?id=2FZC0c06jP
ICLR:10010446,ICLR 2026,10010446,Cautious Weight Decay,,Lizhang Chen; Jonathan Li; Kaizhao Liang; Baiyu Su; Cong Xie; Chen Liang; Ni Lao; Qiang Liu,Accept (Poster),Optimizer; Training dynamics,"C: General-purpose matrix, spectral, adaptive, and learned optimizers; T7: Initialization, normalization, weight decay and regularization",,,,,,,"Optimizer: Cautious Weight Decay applies decay only where parameter and optimizer-update signs agree; a drop-in modification tested with AdamW, Lion, and Muon in LM pretraining. | Training dynamics: Cautious Weight Decay applies decay only where parameter and optimizer-update signs agree; a drop-in modification tested with AdamW, Lion, and Muon in LM pretraining.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=Gwe6gbGng5,https://iclr.cc/virtual/2026/poster/10010446,,https://openreview.net/pdf?id=Gwe6gbGng5,,2026-09-23,LLM training,Weight-decay masking; update signs,"Cautious Weight Decay applies decay only where parameter and optimizer-update signs agree; a drop-in modification tested with AdamW, Lion, and Muon in LM pretraining.","Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=Gwe6gbGng5,,ICLR_10010446,"@misc{ICLR_10010446,
  title = {{Cautious Weight Decay}},
  author = {Lizhang Chen and Jonathan Li and Kaizhao Liang and Baiyu Su and Cong Xie and Chen Liang and Ni Lao and Qiang Liu},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=Gwe6gbGng5}
}",Generated from catalogue metadata,https://openreview.net/forum?id=Gwe6gbGng5
ICLR:10008523,ICLR 2026,10008523,Comparing the learning dynamics of in-context learning and fine-tuning in language models,,Basile Confavreux; Aaditya Singh; Jin Hwa Lee; Amaury Sabran; Andrew Saxe,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T6: Feature learning, implicit bias and generalization dynamics",,,,,,,Training dynamics: Compares how ICL and SFT change representations and inherited task priors.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=cJAtzOcAnd,https://iclr.cc/virtual/2026/poster/10008523,,https://openreview.net/pdf?id=cJAtzOcAnd,,2026-09-23,LLM training,In-context examples; fine-tuning; training stage,Compares how ICL and SFT change representations and inherited task priors.,The study uses medium-sized models and distinguishes activation adaptation from weight training.,0,2026,Accepted,https://openreview.net/forum?id=cJAtzOcAnd,,ICLR_10008523,"@misc{ICLR_10008523,
  title = {{Comparing the learning dynamics of in-context learning and fine-tuning in language models}},
  author = {Basile Confavreux and Aaditya Singh and Jin Hwa Lee and Amaury Sabran and Andrew Saxe},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=cJAtzOcAnd}
}",Generated from catalogue metadata,https://openreview.net/forum?id=cJAtzOcAnd
